ID;IGerM;Wert;Mod_Art_Wert;Anzeigen;Priorität
61;Pfeilspitze;01;01;WAHR;1
62;Bohrer;02;02;WAHR;2
64;Lackglanz, diagonal;03;13;WAHR;3
65;Lackglanz, kantenparallel;04;12;WAHR;4
66;Grobgerät;31;19;WAHR;31
67;Spitzklinge;05;03;WAHR;5
68;Stichel;06;07;WAHR;6
73;Endretusche;07;05;WAHR;7
74;Kratzer;08;04;WAHR;8
78;Lateralretusche;09;06;WAHR;9
81;Ausgesplittertes Stück;11;09;WAHR;11
82;Keine Aussage;40;"";WAHR;32
83;sonstige Retusche;50;33;WAHR;33
84;Dechsel, Beil;10;23;WAHR;10
85;retuschierte Ecke am Bruch;52;32;WAHR;35
86;Kerbbruch;53;08;WAHR;36
87;Stichelabfall;54;34;WAHR;37
88;Schlagnarbenfeld;55;16;WAHR;38
89;Verrundung der Grate einer Fläche;56;11;WAHR;39
90;Verrundung einer Kante;57;10;WAHR;40
91;feine Gebrauchsspur;58;31;WAHR;41
92;schmaler Glanzsaum;59;38;WAHR;42
93;Zähnung bei Lackglanz;60;14;WAHR;43
94;Aussplitterung dorsaler Grate bei Bohren;61;44;WAHR;44
95;kantenparalleler Glanz;62;56;WAHR;45
96;alter Bruch;98;17;WAHR;46
97;neuer Bruch;99;30;WAHR;47
102;Mahlstein;12;36;WAHR;12
105;Pfeilschaftglätter;13;37;WAHR;13
106;Rillenstein;14;43;WAHR;14
107;Schleifstein, allgemein;15;24;WAHR;15
108;Scheibenkeule;30;49;WAHR;30
109;unbestimmbarer Schliff;16;26;WAHR;16
110;Retuscheur;17;25;WAHR;17
111;Klopfer aus Silex oder Felsgestein;19;15;WAHR;19
112;Rötel;20;20;WAHR;20
113;Unmodifizierter Abschlag;21;"";WAHR;21
114;Unmodifizierte Klinge;22;"";WAHR;22
115;Unmodifzierter Kern;23;"";WAHR;23
116;Artifizieller Trümmer;24;"";WAHR;24
117;Natürlicher Trümmer;25;"";WAHR;25
118;Unmodifiziertes Geröll;26;"";WAHR;26
119;Unmodifizierter Stück, k/A zur GF;27;"";WAHR;27
120;Unmodifzierter Kern aus Abschlag;28;"";WAHR;28
121;Unmodifizierter Kerntrümmer;29;"";WAHR;29
122;anretuschierter Bulbus;51;39;WAHR;34
123;"";"";"";WAHR;""
124;Pickgrube;18;42;WAHR;18