name;breite;niveau;;;;;;;;
Siedlungsnr;2;character;;;;;;;;
Stelle;4;character;;;;;;;;
Positionsnr;3;character;;;;;;;;
Individualnr;3;character;;;;;;;;
Formblattnr;2;character;;;;;;;;
Rohmat1;2;factor;;;;;;;;
Rohmat2;2;factor;;;;;;;;
Rohmat_Farbe;2;factor;;;;;;;;
Oberfl_art_Spaltfl;1;factor;;;;;;;;
Strukturen_Material;1;factor;;;;;;;;
Rinde;1;factor;;;;;;;;
Nat_Fl;1;factor;;;;;;;;
Nat_Fl_Abroll;1;factor;;;;;;;;
Therm_Art;1;factor;;;;;;;;
Therm_Zeit;1;factor;;;;;;;;
Erhaltung_Rechteck;1;factor;;;;;;;;
Länge;3;integer;;;;;;;;
Breite;3;integer;;;;;;;;
Dicke;3;integer;;;;;;;;
Gewicht;5;numeric;;;;;;;;
Mod_Erhaltung;1;factor;;;;;;;;
Grundform;1;factor;;;;;;;;
Sandst_Seiten;1;factor;;;;;;;;
Sandst_Unterseite;1;factor;;;;;;;;
Sandst_Rötel;1;factor;;;;;;;;
Sandst_Arbeitsfl;1;factor;;;;;;;;
Sandst_Arbeitsfl_2;1;factor;;;;;;;;
Sandst_Mulden_Rillen;1;factor;;;;;;;;
Sandst_Arbeitssp;1;factor;;;;;;;;
Sandst_Arbeitssp_2;1;factor;;;;;;;;
Klopfspur_Lage;1;factor;;;;;;;;
Narben_Lage;1;factor;;;;;;;;
Narben_Orient;1;factor;;;;;;;;
Mahl_Fl;1;factor;;;;;;;;
Mahl_Erhalt;1;factor;;;;;;;;
Mahl_Richt;1;factor;;;;;;;;
Mahl_Arbeitsfl_Quer;1;factor;;;;;;;;
Mahl_Arbeitsfl_Längs;1;factor;;;;;;;;
Mahl_Arbeitsfl2_Quer;1;factor;;;;;;;;
Mahl_Arbeitsfl2_Längs;1;factor;;;;;;;;
Mahl_Handgriffglanz;1;factor;;;;;;;;
Pfschft_glätt_Rillen;1;factor;;;;;;;;
Rötel_Nat_Fl;1;factor;;;;;;;;
Mod_Art_1;2;factor;;;;;;;;
Mod_Art_2;2;factor;;;;;;;;
Mod_Art_3;2;factor;;;;;;;;
Mod_Art_4;2;factor;;;;;;;;
Mod_Art_5;2;factor;;;;;;;;
Mod_Art_6;2;factor;;;;;;;;
Mod_Reihe_1;1;factor;;;;;;;;
Mod_Reihe_2;1;factor;;;;;;;;
Mod_Reihe_3;1;factor;;;;;;;;
igerm1;2;factor;;;;;;;;
igerm2;2;factor;;;;;;;;